dataset,method,metric,size,fitted_u_bar,fitted_I_max,u_bar_error,I_max_error
shendure,Geneformer,author_day,100,116.021,0.802,24.386,0.036
shendure,Geneformer,author_day,359,207.217,1.243,20.798,0.026
shendure,Geneformer,author_day,1291,271.351,1.504,44.861,0.051
shendure,Geneformer,author_day,4641,403.606,1.794,42.211,0.038
shendure,Geneformer,author_day,16681,342.729,1.938,18.837,0.02
shendure,Geneformer,author_day,59948,279.521,1.99,31.007,0.041
shendure,Geneformer,author_day,215443,303.684,2.036,36.633,0.045
shendure,Geneformer,author_day,774263,296.067,2.07,36.381,0.046
shendure,Geneformer,author_day,2782559,381.168,2.063,50.581,0.052
shendure,Geneformer,author_day,10000000,297.393,2.037,23.234,0.029
PBMC,Geneformer,celltype.l3,100,166.228,2.032,22.114,0.039
PBMC,Geneformer,celltype.l3,215,202.117,2.177,42.616,0.069
PBMC,Geneformer,celltype.l3,464,244.475,2.401,36.574,0.054
PBMC,Geneformer,celltype.l3,1000,277.876,2.527,65.743,0.087
PBMC,Geneformer,celltype.l3,2154,224.916,2.419,66.768,0.105
PBMC,Geneformer,celltype.l3,4641,342.481,2.711,89.902,0.101
PBMC,Geneformer,celltype.l3,10000,369.769,2.789,85.669,0.089
PBMC,Geneformer,celltype.l3,21544,427.89,2.927,82.357,0.076
PBMC,Geneformer,celltype.l3,46415,478.593,3.05,123.301,0.11
PBMC,Geneformer,celltype.l3,100000,464.03,3.079,74.348,0.068
larry,Geneformer,clone,100,19.214,0.053,17.964,0.009
larry,Geneformer,clone,215,12120.312,1.035,17171.638,0.675
larry,Geneformer,clone,464,723.148,0.497,189.443,0.043
larry,Geneformer,clone,1000,781.353,0.896,192.044,0.064
larry,Geneformer,clone,2154,1071.829,1.25,170.733,0.055
larry,Geneformer,clone,4641,729.526,1.244,129.241,0.056
larry,Geneformer,clone,10000,830.981,1.309,210.213,0.085
larry,Geneformer,clone,21544,483.415,1.123,157.785,0.09
larry,Geneformer,clone,46415,325.872,1.049,97.609,0.074
larry,Geneformer,clone,100000,555.204,1.31,112.062,0.063
merfish,Geneformer,ng_idx,100,34.808,0.452,4.861,0.016
merfish,Geneformer,ng_idx,203,49.255,0.507,8.603,0.024
merfish,Geneformer,ng_idx,414,91.656,0.758,13.447,0.033
merfish,Geneformer,ng_idx,843,121.956,0.949,16.392,0.037
merfish,Geneformer,ng_idx,1716,274.526,1.329,36.245,0.053
merfish,Geneformer,ng_idx,3494,410.251,1.632,64.232,0.074
merfish,Geneformer,ng_idx,7113,323.193,1.5,67.732,0.092
merfish,Geneformer,ng_idx,14480,253.828,1.458,44.39,0.072
merfish,Geneformer,ng_idx,29475,355.42,1.672,87.68,0.115
merfish,Geneformer,ng_idx,60000,274.497,1.549,66.401,0.106
PBMC,Geneformer,protein_counts,100,62.975,1.913,12.755,0.049
PBMC,Geneformer,protein_counts,215,134.925,2.261,53.419,0.124
PBMC,Geneformer,protein_counts,464,152.273,2.429,47.969,0.11
PBMC,Geneformer,protein_counts,1000,259.353,2.805,83.902,0.124
PBMC,Geneformer,protein_counts,2154,180.391,2.591,101.186,0.2
PBMC,Geneformer,protein_counts,4641,286.985,2.902,148.17,0.202
PBMC,Geneformer,protein_counts,10000,526.159,3.301,159.613,0.13
PBMC,Geneformer,protein_counts,21544,733.462,3.552,195.759,0.12
PBMC,Geneformer,protein_counts,46415,785.779,3.613,273.44,0.166
PBMC,Geneformer,protein_counts,100000,879.137,3.783,164.123,0.09
shendure,PCA,author_day,100,719.697,0.967,102.921,0.039
shendure,PCA,author_day,359,945.836,1.133,150.72,0.051
shendure,PCA,author_day,1291,954.219,1.216,181.105,0.063
shendure,PCA,author_day,4641,837.561,1.221,135.018,0.052
shendure,PCA,author_day,16681,820.617,1.221,136.681,0.054
shendure,PCA,author_day,59948,855.811,1.236,151.633,0.058
shendure,PCA,author_day,215443,755.23,1.201,129.864,0.054
shendure,PCA,author_day,774263,688.772,1.178,99.281,0.044
shendure,PCA,author_day,2782559,683.841,1.172,112.231,0.05
shendure,PCA,author_day,10000000,766.048,1.202,134.9,0.056
PBMC,PCA,celltype.l3,100,1624.474,3.091,222.286,0.068
PBMC,PCA,celltype.l3,215,1697.306,3.122,227.572,0.064
PBMC,PCA,celltype.l3,464,1733.226,3.164,193.632,0.055
PBMC,PCA,celltype.l3,1000,2198.027,3.339,294.859,0.069
PBMC,PCA,celltype.l3,2154,2128.377,3.299,359.72,0.086
PBMC,PCA,celltype.l3,4641,1869.455,3.288,233.98,0.062
PBMC,PCA,celltype.l3,10000,1438.934,3.173,191.114,0.064
PBMC,PCA,celltype.l3,21544,1593.251,3.241,180.802,0.054
PBMC,PCA,celltype.l3,46415,1682.897,3.261,211.284,0.061
PBMC,PCA,celltype.l3,100000,1693.74,3.271,237.504,0.067
larry,PCA,clone,100,2205.84,1.739,440.759,0.092
larry,PCA,clone,215,2208.711,1.795,448.718,0.095
larry,PCA,clone,464,2232.549,1.801,436.689,0.092
larry,PCA,clone,1000,2477.795,1.899,495.837,0.097
larry,PCA,clone,2154,2169.546,1.855,374.805,0.082
larry,PCA,clone,4641,2322.292,1.88,431.198,0.089
larry,PCA,clone,10000,2058.26,1.833,348.62,0.079
larry,PCA,clone,21544,2266.407,1.902,370.511,0.079
larry,PCA,clone,46415,2260.588,1.887,419.795,0.089
larry,PCA,clone,100000,2369.708,1.9,441.111,0.09
merfish,PCA,ng_idx,100,1427.144,2.373,512.369,0.222
merfish,PCA,ng_idx,203,3264.154,2.998,1950.701,0.402
merfish,PCA,ng_idx,414,2331.865,2.878,931.24,0.263
merfish,PCA,ng_idx,843,23540.424,4.543,110614.642,3.357
merfish,PCA,ng_idx,1716,6449.509,3.658,10132.887,1.096
merfish,PCA,ng_idx,3494,7033.553,3.737,10743.574,1.069
merfish,PCA,ng_idx,7113,3137.05,3.203,2953.929,0.637
merfish,PCA,ng_idx,14480,2751.743,3.116,2234.615,0.544
merfish,PCA,ng_idx,29475,7914.301,3.857,15978.314,1.418
merfish,PCA,ng_idx,60000,3508.636,3.302,3488.209,0.677
PBMC,PCA,protein_counts,100,3435.377,3.736,562.679,0.092
PBMC,PCA,protein_counts,215,3549.013,3.783,543.029,0.082
PBMC,PCA,protein_counts,464,4626.583,3.982,640.707,0.08
PBMC,PCA,protein_counts,1000,6872.71,4.282,1136.605,0.099
PBMC,PCA,protein_counts,2154,6066.924,4.173,1340.815,0.131
PBMC,PCA,protein_counts,4641,6438.895,4.261,1175.596,0.109
PBMC,PCA,protein_counts,10000,4774.064,4.077,811.373,0.1
PBMC,PCA,protein_counts,21544,4123.492,4.002,507.31,0.069
PBMC,PCA,protein_counts,46415,4242.267,4.007,615.808,0.081
PBMC,PCA,protein_counts,100000,5017.329,4.096,1011.799,0.115
shendure,RandomProjection,author_day,100,1273.428,0.783,182.073,0.038
shendure,RandomProjection,author_day,359,1273.428,0.783,182.073,0.038
shendure,RandomProjection,author_day,1291,1273.428,0.783,182.073,0.038
shendure,RandomProjection,author_day,4641,1273.428,0.783,182.073,0.038
shendure,RandomProjection,author_day,16681,1273.428,0.783,182.073,0.038
shendure,RandomProjection,author_day,59948,1273.428,0.783,182.073,0.038
shendure,RandomProjection,author_day,215443,1273.428,0.783,182.073,0.038
shendure,RandomProjection,author_day,774263,1273.428,0.783,182.073,0.038
shendure,RandomProjection,author_day,2782559,1273.428,0.783,182.073,0.038
shendure,RandomProjection,author_day,10000000,1358.871,0.805,171.077,0.032
PBMC,RandomProjection,celltype.l3,100,3660.629,2.634,391.172,0.055
PBMC,RandomProjection,celltype.l3,215,3762.036,2.634,381.127,0.051
PBMC,RandomProjection,celltype.l3,464,3641.785,2.598,404.233,0.053
PBMC,RandomProjection,celltype.l3,1000,3602.102,2.619,345.236,0.047
PBMC,RandomProjection,celltype.l3,2154,3900.979,2.641,518.152,0.066
PBMC,RandomProjection,celltype.l3,4641,3940.555,2.641,414.681,0.05
PBMC,RandomProjection,celltype.l3,10000,3652.575,2.612,373.441,0.05
PBMC,RandomProjection,celltype.l3,21544,3684.207,2.61,355.802,0.047
PBMC,RandomProjection,celltype.l3,46415,3693.775,2.629,401.975,0.055
PBMC,RandomProjection,celltype.l3,100000,3819.834,2.642,458.775,0.061
larry,RandomProjection,clone,100,1686.984,0.532,364.921,0.046
larry,RandomProjection,clone,215,1686.984,0.532,364.921,0.046
larry,RandomProjection,clone,464,1686.984,0.532,364.921,0.046
larry,RandomProjection,clone,1000,1686.984,0.532,364.921,0.046
larry,RandomProjection,clone,2154,1686.984,0.532,364.921,0.046
larry,RandomProjection,clone,4641,1686.984,0.532,364.921,0.046
larry,RandomProjection,clone,10000,1686.984,0.532,364.921,0.046
larry,RandomProjection,clone,21544,1686.984,0.532,364.921,0.046
larry,RandomProjection,clone,46415,1686.984,0.532,364.921,0.046
larry,RandomProjection,clone,100000,1686.984,0.532,364.921,0.046
merfish,RandomProjection,ng_idx,100,250.533,0.696,31.947,0.034
merfish,RandomProjection,ng_idx,203,250.533,0.696,31.947,0.034
merfish,RandomProjection,ng_idx,414,250.533,0.696,31.947,0.034
merfish,RandomProjection,ng_idx,843,250.533,0.696,31.947,0.034
merfish,RandomProjection,ng_idx,1716,250.533,0.696,31.947,0.034
merfish,RandomProjection,ng_idx,3494,250.533,0.696,31.947,0.034
merfish,RandomProjection,ng_idx,7113,250.533,0.696,31.947,0.034
merfish,RandomProjection,ng_idx,14480,250.533,0.696,31.947,0.034
merfish,RandomProjection,ng_idx,29475,250.533,0.696,31.947,0.034
merfish,RandomProjection,ng_idx,60000,250.533,0.696,31.947,0.034
PBMC,RandomProjection,protein_counts,100,4874.088,3.147,557.401,0.064
PBMC,RandomProjection,protein_counts,215,4907.481,3.158,423.054,0.047
PBMC,RandomProjection,protein_counts,464,4411.995,3.099,382.363,0.045
